/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 22 ott 2023 at 13:35:25
 *********************************************/
n = 40;

m = 50;

g = 7;

d = [53.577644318442324, 51.4128280183384, 51.31675668651695, 51.49847194747022, 50.92456563901715, 52.775250862943594, 52.33295198152547];

c = [[0.007843172406751179, 0.012470278811455772, 0.0086333651240079, 0.0053842256973828375, 0.009401334965652987, 0.014982547869490579, 0.007972575901486615], [0.003921586203375589, 0.006235139405727886, 0.00431668256200395, 0.0026921128486914188, 0.004700667482826494, 0.0074912739347452895, 0.003986287950743308], [0.18431455155865267, 0.29305155206921063, 0.20288408041418565, 0.12652930388849667, 0.22093137169284519, 0.35208987493302857, 0.18735553368493546], [0.1058828274911409, 0.16834876395465292, 0.11655042917410666, 0.0726870469146683, 0.12691802203631533, 0.2022643962381228, 0.10762977467006932], [0.3176484824734227, 0.5050462918639588, 0.34965128752231994, 0.21806114074400493, 0.38075406610894597, 0.6067931887143685, 0.322889324010208], [0.33333482728692504, 0.5299868494868702, 0.3669180177703358, 0.2288295921387706, 0.39955673604025194, 0.6367582844533496, 0.33883447581318116], [0.06274537925400943, 0.09976223049164618, 0.0690669209920632, 0.0430738055790627, 0.0752106797252239, 0.11986038295592463, 0.06378060721189292], [0.18823613776202827, 0.29928669147493847, 0.20720076297618958, 0.1292214167371881, 0.22563203917567168, 0.35958114886777387, 0.19134182163567878], [0.33725641349030067, 0.5362219888925982, 0.3712347003323397, 0.23152170498746202, 0.40425740352307843, 0.6442495583880948, 0.3428207637639245], [0.13333393091477003, 0.21199473979474812, 0.1467672071081343, 0.09153183685550824, 0.15982269441610078, 0.2547033137813398, 0.13553379032527246], [0.1411771033215212, 0.22446501860620388, 0.15540057223214218, 0.09691606255289108, 0.16922402938175374, 0.2696858616508304, 0.14350636622675908], [0.2784326204396668, 0.44269489780667987, 0.30648446190228046, 0.19114001225709074, 0.333747391280681, 0.5318804493669155, 0.28302644450277487], [0.3176484824734227, 0.5050462918639588, 0.34965128752231994, 0.21806114074400493, 0.38075406610894597, 0.6067931887143685, 0.322889324010208], [0.1019612412877653, 0.162113624548925, 0.1122337466121027, 0.06999493406597689, 0.12221735455348881, 0.1947731223033775, 0.103643486719326], [0.33333482728692504, 0.5299868494868702, 0.3669180177703358, 0.2288295921387706, 0.39955673604025194, 0.6367582844533496, 0.33883447581318116], [0.38823703413418326, 0.6172788011670607, 0.42735157363839105, 0.26651917202045045, 0.4653660807998228, 0.7416361195397836, 0.39464250712358745], [0.3647075169139298, 0.5798679647326933, 0.40145147826636735, 0.25036649492830193, 0.4371620759028639, 0.6966884759313119, 0.3707247794191276], [0.015686344813502357, 0.024940557622911544, 0.0172667302480158, 0.010768451394765675, 0.018802669931305974, 0.029965095738981158, 0.01594515180297323], [0.33333482728692504, 0.5299868494868702, 0.3669180177703358, 0.2288295921387706, 0.39955673604025194, 0.6367582844533496, 0.33883447581318116], [0.2901973790497936, 0.46140031602386355, 0.31943450958829234, 0.19921635080316502, 0.3478493937291605, 0.5543542711711514, 0.2949853083550048], [0.2901973790497936, 0.46140031602386355, 0.31943450958829234, 0.19921635080316502, 0.3478493937291605, 0.5543542711711514, 0.2949853083550048], [0.3568643445071786, 0.5673976859212376, 0.3928181131423594, 0.24498226923091912, 0.4277607409372109, 0.6817059280618213, 0.36275220351764104], [0.352942758303803, 0.5611625465155097, 0.3885014305803555, 0.2422901563822277, 0.4230600734543844, 0.674214654127076, 0.3587659155668977], [0.11764758610126767, 0.18705418217183659, 0.1295004768601185, 0.08076338546074256, 0.1410200244847948, 0.2247382180423587, 0.11958863852229924], [0.34117799969367624, 0.542457128298326, 0.37555138289434364, 0.23421381783615344, 0.4089580710059049, 0.6517408323228402, 0.3468070517146678], [0.30588372386329593, 0.48634087364677503, 0.33670123983630806, 0.20998480219793064, 0.36665206366046643, 0.5843193669101325, 0.310930460157978], [0.13333393091477003, 0.21199473979474812, 0.1467672071081343, 0.09153183685550824, 0.15982269441610078, 0.2547033137813398, 0.13553379032527246], [0.3019621376599203, 0.48010573424104713, 0.3323845572743041, 0.20729268934923922, 0.36195139617763994, 0.5768280929753872, 0.3069441722072347], [0.09019648267763854, 0.14340820633174137, 0.09928369892609085, 0.06191859551990263, 0.10811535210500935, 0.17229930049914163, 0.09168462286709608], [0.15686344813502356, 0.24940557622911544, 0.17266730248015802, 0.10768451394765675, 0.18802669931305974, 0.29965095738981157, 0.15945151802973231], [0.23137358599915972, 0.3678732249379452, 0.254684271158233, 0.15883465807279368, 0.27733938148676307, 0.44198516214997197, 0.23519098909385514], [0.1019612412877653, 0.162113624548925, 0.1122337466121027, 0.06999493406597689, 0.12221735455348881, 0.1947731223033775, 0.103643486719326], [0.05490220684725825, 0.08729195168019041, 0.06043355586805531, 0.03768957988167987, 0.06580934475957091, 0.10487783508643406, 0.05580803131040632], [0.05882379305063384, 0.09352709108591829, 0.06475023843005925, 0.04038169273037128, 0.0705100122423974, 0.11236910902117934, 0.05979431926114962], [0.08627489647426294, 0.13717306692601347, 0.09496701636408689, 0.05922648267121121, 0.10341468462218284, 0.16480802656439633, 0.08769833491635276], [0.16078503433839914, 0.2556407156348433, 0.17698398504216192, 0.11037662679634816, 0.1927273667958862, 0.3071422313245568, 0.1634378059804756], [0.07843172406751178, 0.12470278811455772, 0.08633365124007901, 0.05384225697382838, 0.09401334965652987, 0.14982547869490578, 0.07972575901486616], [0.34509958589705175, 0.5486922677040539, 0.37986806545634755, 0.23690593068484483, 0.41365873848873136, 0.6592321062575853, 0.35079333966541104], [0.29804055145654473, 0.4738705948353193, 0.3280678747123002, 0.2046005765005478, 0.35725072869481345, 0.5693368190406419, 0.3029578842564914], [0.031372689627004714, 0.04988111524582309, 0.0345334604960316, 0.02153690278953135, 0.03760533986261195, 0.059930191477962316, 0.03189030360594646]];

u = [1.2341477295125234, 1.4104545480143122, 0.1511201301443906, 0.755600650721953, 0.5541071438627655, 1.8890016268048826, 0.10074675342959374, 0.931907469223742, 1.914188315162281, 0.80597402743675, 2.367548705595453, 1.8386282500900857, 0.3274269486461796, 1.6371347432308982, 1.2593344178699217, 1.1334009760829296, 0.3274269486461796, 1.108214287725531, 0.3274269486461796, 1.2341477295125234, 0.1511201301443906, 0.931907469223742, 1.108214287725531, 2.216428575451062, 2.4179220823102496, 0.3022402602887812, 1.5363879898013044, 0.9067207808663436, 1.6119480548735, 1.1837743527977265, 1.057840911010734, 2.4682954590250468, 1.28452110622732, 1.5867613665161013, 1.3600811712995153, 1.7378814966604916, 1.1334009760829296, 0.80597402743675, 1.2089610411551248, 1.1334009760829296, 2.367548705595453, 0.402987013718375, 0.42817370207577343, 2.317175328880656, 0.3022402602887812, 0.6548538972923592, 1.4104545480143122, 1.6371347432308982, 0.025186688357398436, 0.2014935068591875];

l = [0.12341477295125235, 0.14104545480143124, 0.015112013014439062, 0.07556006507219531, 0.05541071438627655, 0.18890016268048826, 0.010074675342959374, 0.09319074692237421, 0.1914188315162281, 0.080597402743675, 0.2367548705595453, 0.18386282500900858, 0.03274269486461796, 0.16371347432308983, 0.12593344178699217, 0.11334009760829296, 0.03274269486461796, 0.1108214287725531, 0.03274269486461796, 0.12341477295125235, 0.015112013014439062, 0.09319074692237421, 0.1108214287725531, 0.2216428575451062, 0.24179220823102499, 0.030224026028878123, 0.15363879898013044, 0.09067207808663436, 0.16119480548735, 0.11837743527977265, 0.10578409110107341, 0.2468295459025047, 0.128452110622732, 0.15867613665161015, 0.13600811712995153, 0.17378814966604916, 0.11334009760829296, 0.080597402743675, 0.12089610411551249, 0.11334009760829296, 0.2367548705595453, 0.0402987013718375, 0.042817370207577345, 0.2317175328880656, 0.030224026028878123, 0.06548538972923593, 0.14104545480143124, 0.16371347432308983, 0.0025186688357398436, 0.02014935068591875];

rcv = [18366.57258042625, 25293.522966928547, 25129.121028477275, 25435.563670276388, 26175.298484569397, 22652.218002196918, 17438.252954453143, 24902.912383544375, 21397.67390688606, 23196.039661614494, 16950.017067940043, 23359.52981834042, 17439.803410918426, 26020.349706819215, 25653.700817921188, 27684.10712311235, 20892.644604422185, 17441.524766765233, 25407.92394868288, 20704.684422788916, 20237.371173711843, 20256.5380028391, 27292.294647300067, 25853.997563282606, 18588.273405522603, 22266.12398904247, 19148.94106957162, 22557.996570341013, 23557.01328792698, 20254.301250769604, 19651.517388303153, 19357.92106163322, 16846.98886380016, 17135.196057238303, 21414.812937912437, 27290.56458820017, 24806.25420039429, 24175.455775030117, 16921.075000436143, 26387.935435240674];

tcv = [91563.56984697409, 97729.54499239931, 97577.95316372307, 95499.85645997533, 102840.4657720838, 101246.5039113392, 100945.1996258803, 105141.6968711417, 90959.6815970784, 95823.52310092487, 98167.02074127531, 101943.1580929815, 102652.85690630347, 103757.79418512588, 103692.01118636504, 102797.42469102066, 96240.90720081271, 96513.1863346083, 94115.91534691116, 103184.53864127512, 98199.98976399055, 91577.48405218928, 93593.68869984461, 98956.37947368428, 103448.44418142721, 101887.20987554245, 90946.80271936899, 103716.16501585123, 99247.51057129953, 102549.03474584936, 104325.43373774702, 92326.04208580984, 91871.41453912132, 104955.17896842565, 92535.91003360068, 99699.44259827251, 104950.76446121269, 100505.37504882432, 105409.58896331947, 96052.45950022744, 96451.52731957662, 103831.2612091799, 100460.87411761784, 91645.3760191118, 99504.11611535044, 98335.9586215189, 94881.75723117609, 97145.23891512853, 104565.11306195693, 94691.0422864813];

tcf = [18887.6, 21585.83, 2312.77, 11563.84, 8480.15, 28909.6, 1541.85, 14262.07, 29295.06, 12334.76, 36233.36, 28138.67, 5011.0, 25054.98, 19273.06, 17345.76, 5011.0, 16960.3, 5011.0, 18887.6, 2312.77, 14262.07, 16960.3, 33920.59, 37004.28, 4625.54, 23513.14, 13876.61, 24669.52, 18116.68, 16189.37, 37775.21, 19658.53, 24284.06, 20814.91, 26596.83, 17345.76, 12334.76, 18502.14, 17345.76, 36233.36, 6167.38, 6552.84, 35462.44, 4625.54, 10021.99, 21585.83, 25054.98, 385.46, 3083.69];
 
