/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 22 ott 2023 at 13:37:59
 *********************************************/
n = 50;

m = 40;

g = 7;

d = [52.765966892622316, 49.906203085344984, 53.358212170090674, 51.77108969263319, 50.81971717217266, 51.07619779001651, 52.582729601024];

c = [[0.0012088385971545813, 0.0005688604841095335, 0.0007357100034603374, 0.001153122492862035, 0.0022833407733451466, 0.0005075900252778228, 0.002478785392811522], [0.0024176771943091625, 0.001137720968219067, 0.0014714200069206747, 0.00230624498572407, 0.004566681546690293, 0.0010151800505556457, 0.004957570785623044], [0.04835354388618325, 0.022754419364381342, 0.029428400138413496, 0.0461248997144814, 0.09133363093380586, 0.020303601011112914, 0.09915141571246087], [0.05741983336484261, 0.027020872995202845, 0.03494622516436603, 0.05477331841094667, 0.10845868673389447, 0.024110526200696585, 0.11774230615854729], [0.03505631931748285, 0.01649695403917647, 0.021335590100349782, 0.03344055229299901, 0.06621688242700924, 0.014720110733056858, 0.07188477639153412], [0.044122608796142215, 0.020763407669997975, 0.026853415126302318, 0.042088970989464285, 0.08334193822709786, 0.018527035922640534, 0.09047566683762055], [0.028407707033132657, 0.013368221376574037, 0.017289185081317927, 0.02709837858225782, 0.05365850817361094, 0.011928365594028835, 0.05825145673107076], [0.05560657546911074, 0.026167582269038547, 0.033842660159175524, 0.053043634671653614, 0.10503367557387676, 0.023349141162779852, 0.11402412806933002], [0.018132578957318714, 0.008532907261643002, 0.01103565005190506, 0.01729683739293052, 0.03425011160017719, 0.007613850379167341, 0.03718178089217282], [0.03142980352601911, 0.014790372586847872, 0.019128460089968772, 0.02998118481441291, 0.05936686010697381, 0.013197340657223392, 0.06444842021309957], [0.053793317573378865, 0.025314291542874245, 0.032739095153985015, 0.05131395093236056, 0.10160866441385903, 0.022587756124863117, 0.11030594998011273], [0.012692805270123102, 0.005973035083150102, 0.007724955036333543, 0.012107786175051368, 0.02397507812012404, 0.005329695265417139, 0.02602724662452098], [0.010879547374391231, 0.005119744356985802, 0.0066213900311430365, 0.010378102435758315, 0.02055006696010632, 0.004568310227500406, 0.022309068535303695], [0.018132578957318714, 0.008532907261643002, 0.01103565005190506, 0.01729683739293052, 0.03425011160017719, 0.007613850379167341, 0.03718178089217282], [0.026594449137400788, 0.012514930650409739, 0.01618562007612742, 0.02536869484296477, 0.050233497013593226, 0.0111669805561121, 0.05453327864185348], [0.006648612284350197, 0.0031287326626024347, 0.004046405019031855, 0.006342173710741193, 0.012558374253398306, 0.002791745139028025, 0.01363331966046337], [0.045331447393296795, 0.021332268154107506, 0.02758912512976265, 0.04324209348232631, 0.08562527900044299, 0.019034625947918354, 0.09295445223043206], [0.05016680178191512, 0.02360771009054564, 0.030531965143604, 0.04785458345377445, 0.09475864209382358, 0.021064986049029646, 0.10286959380167815], [0.0513756403790697, 0.024176570574655176, 0.03126767514706434, 0.04900770594663648, 0.09704198286716872, 0.021572576074307466, 0.10534837919448967], [0.032638642123173696, 0.015359233070957407, 0.01986417009342911, 0.031134307307274945, 0.06165020088031896, 0.013704930682501216, 0.06692720560591109], [0.007857450881504777, 0.003697593146711968, 0.004782115022492193, 0.007495296203603227, 0.014841715026743453, 0.003299335164305848, 0.016112105053274893], [0.054397736871956155, 0.02559872178492901, 0.03310695015571519, 0.05189051217879158, 0.1027503348005316, 0.022841551137502025, 0.11154534267651849], [0.04835354388618325, 0.022754419364381342, 0.029428400138413496, 0.0461248997144814, 0.09133363093380586, 0.020303601011112914, 0.09915141571246087], [0.05983751055915178, 0.02815859396342191, 0.036417645171286706, 0.05707956339667074, 0.11302536828058476, 0.02512570625125223, 0.12269987694417034], [0.02780328773455537, 0.013083791134519273, 0.016921330079587762, 0.026521817335826807, 0.05251683778693838, 0.011674570581389926, 0.05701206403466501], [0.021154675450205173, 0.009955058471916836, 0.012874925060555905, 0.020179643625085612, 0.039958463533540066, 0.0088828254423619, 0.04337874437420163], [0.03022096492886453, 0.014221512102738339, 0.018392750086508435, 0.028828062321550874, 0.057083519333628666, 0.01268975063194557, 0.06196963482028805], [0.021759094748782463, 0.010239488713971604, 0.013242780062286073, 0.02075620487151663, 0.04110013392021264, 0.009136620455000811, 0.04461813707060739], [0.05560657546911074, 0.026167582269038547, 0.033842660159175524, 0.053043634671653614, 0.10503367557387676, 0.023349141162779852, 0.11402412806933002], [0.053793317573378865, 0.025314291542874245, 0.032739095153985015, 0.05131395093236056, 0.10160866441385903, 0.022587756124863117, 0.11030594998011273], [0.04170493160183305, 0.019625686701778906, 0.025381995119381637, 0.03978272600374021, 0.07877525668040755, 0.017511855872084887, 0.08551809605199749], [0.054397736871956155, 0.02559872178492901, 0.03310695015571519, 0.05189051217879158, 0.1027503348005316, 0.022841551137502025, 0.11154534267651849], [0.03384748072032828, 0.01592809355506694, 0.020599880096889452, 0.032287429800136984, 0.06393354165366412, 0.014212520707779041, 0.06940599099872262], [0.03747399651179202, 0.01763467500739554, 0.02280701010727046, 0.03574679727872308, 0.07078356397369955, 0.015735290783612507, 0.07684234717715718], [0.058024252663419894, 0.02730530323725761, 0.03531408016609619, 0.05534987965737768, 0.10960035712056702, 0.024364321213335493, 0.11898169885495304], [0.04049609300467848, 0.019056826217669375, 0.024646285115921304, 0.03862960351087818, 0.07649191590706242, 0.017004265846807066, 0.08303931065918599], [0.044727028094719505, 0.021047837912052742, 0.027221270128032486, 0.042665532235895295, 0.08448360861377043, 0.018780830935279443, 0.09171505953402631], [0.03989167370610118, 0.018772395975614607, 0.024278430114191136, 0.038053042264447154, 0.07535024552038984, 0.01675047083416815, 0.08179991796278022], [0.005439773687195616, 0.002559872178492901, 0.0033106950155715183, 0.0051890512178791575, 0.01027503348005316, 0.002284155113750203, 0.011154534267651848], [0.01994583685305059, 0.009386197987807304, 0.012139215057095568, 0.019026521132223577, 0.03767512276019492, 0.008375235417084076, 0.04089995898139011], [0.009066289478659357, 0.004266453630821501, 0.00551782502595253, 0.00864841869646526, 0.017125055800088596, 0.0038069251895836704, 0.01859089044608641], [0.05016680178191512, 0.02360771009054564, 0.030531965143604, 0.04785458345377445, 0.09475864209382358, 0.021064986049029646, 0.10286959380167815], [0.04835354388618325, 0.022754419364381342, 0.029428400138413496, 0.0461248997144814, 0.09133363093380586, 0.020303601011112914, 0.09915141571246087], [0.04291377019898763, 0.02019454718588844, 0.026117705122841978, 0.04093584849660224, 0.0810585974537527, 0.018019445897362707, 0.08799688144480902], [0.05862867196199719, 0.02758973347931238, 0.03568193516782637, 0.0559264409038087, 0.11074202750723962, 0.024618116225974408, 0.12022109155135882], [0.0193414175544733, 0.009101767745752536, 0.011771360055365398, 0.01844995988579256, 0.036533452373522346, 0.008121440404445165, 0.03966056628498435], [0.04956238248333782, 0.023323279848490874, 0.03016411014187383, 0.04727802220734343, 0.093616971707151, 0.02081119103639073, 0.10163020110527238], [0.05741983336484261, 0.027020872995202845, 0.03494622516436603, 0.05477331841094667, 0.10845868673389447, 0.024110526200696585, 0.11774230615854729], [0.0193414175544733, 0.009101767745752536, 0.011771360055365398, 0.01844995988579256, 0.036533452373522346, 0.008121440404445165, 0.03966056628498435], [0.033243061421750986, 0.015643663313012174, 0.02023202509515928, 0.031710868553705966, 0.06279187126699154, 0.013958725695140128, 0.06816659830231686]];

u = [1.6390677760208359, 0.4892739629912942, 1.0764027185808474, 2.177269135311259, 2.2751239279095183, 0.9540842278330238, 1.5167492852730122, 0.7339109444869413, 1.2476486056278004, 1.614604077871271, 0.14678218889738825, 0.8562294352347648, 0.4158828685426001, 0.8562294352347648, 0.7339109444869413, 1.3210397000764944, 1.6879951723199649, 0.0, 0.44034656669216476, 2.3974424186573415, 0.513737661140859, 1.6390677760208359, 0.6360561518886825, 2.1038780408625652, 2.201732833460824, 2.3974424186573415, 0.9051568315338944, 0.8806931333843295, 2.348515022358212, 2.3974424186573415, 1.1497938130295413, 1.1987212093286708, 2.2995876260590826, 1.8347773612173532, 1.5412129834225767, 1.5167492852730122, 0.9051568315338944, 2.030486946413871, 1.5412129834225767, 2.226196531610389];

l = [0.1639067776020836, 0.04892739629912943, 0.10764027185808474, 0.21772691353112592, 0.22751239279095184, 0.09540842278330239, 0.15167492852730124, 0.07339109444869413, 0.12476486056278005, 0.1614604077871271, 0.014678218889738826, 0.08562294352347649, 0.04158828685426001, 0.08562294352347649, 0.07339109444869413, 0.13210397000764945, 0.1687995172319965, 0.0, 0.04403465666921648, 0.23974424186573418, 0.051373766114085895, 0.1639067776020836, 0.06360561518886824, 0.21038780408625654, 0.22017328334608244, 0.23974424186573418, 0.09051568315338944, 0.08806931333843296, 0.2348515022358212, 0.23974424186573418, 0.11497938130295414, 0.11987212093286709, 0.22995876260590828, 0.18347773612173535, 0.15412129834225768, 0.15167492852730124, 0.09051568315338944, 0.2030486946413871, 0.15412129834225768, 0.2226196531610389];

rcv = [22863.43663799198, 19209.665212302323, 19228.048843277305, 27310.354334613978, 24170.058232474996, 26140.41680724531, 24250.9231543908, 22291.373926549386, 18699.12007842585, 26992.401591217953, 21731.827753506623, 19229.893549329507, 17557.41892404091, 18198.92622826749, 24583.66733321031, 22924.63374862264, 19024.517553508158, 18720.330404254037, 26642.817999561485, 17342.879138798347, 25337.492612694907, 24946.437096862246, 21079.30088153082, 25108.104652348775, 22485.053416027815, 27990.75645780745, 21579.8296344369, 21962.808482049797, 24218.683785836387, 18825.30139560462, 22512.1187012382, 25393.75182089106, 25541.167513690427, 20597.69151400695, 18460.2977721188, 21630.31331025939, 22485.70168870667, 24801.70676845422, 25798.43386033461, 24615.254387689492, 26339.073804501902, 25238.020389819518, 22336.033737610825, 27078.28849386626, 27917.823951192717, 22615.650045911367, 23380.355139497115, 18167.482830350797, 26748.434308637647, 23396.16562170561];

tcv = [91620.56522066651, 94709.86746070151, 97096.9407534352, 101617.39252860918, 93099.5670167612, 100991.59811439461, 102777.77308702376, 98277.91454428171, 99957.91679726483, 94306.01689040556, 96492.34929978337, 101150.76148365924, 102401.06598122237, 91368.72173560422, 97203.26938404895, 101515.69856317752, 100974.96054761842, 99630.2300921888, 92470.86771279972, 102003.9898392457, 103651.06968804562, 100081.00491362443, 95371.13820571091, 100990.960701036, 95381.00140207083, 99200.94485459069, 104569.17747935207, 104078.76934321118, 99844.71005510073, 99957.58929694323, 95317.03597870571, 103054.96465722824, 100161.3008614211, 102752.15844045271, 101606.72275345064, 100471.08802707093, 101720.9653606684, 93266.25636327972, 103473.74070721233, 98453.26247922376];

tcf = [25084.57, 7487.93, 16473.45, 33321.29, 34818.88, 14601.46, 23212.58, 11231.9, 19094.22, 24710.17, 2246.38, 13103.88, 6364.74, 13103.88, 11231.9, 20217.41, 25833.36, 0.0, 6739.14, 36690.86, 7862.33, 25084.57, 9734.31, 32198.1, 33695.69, 36690.86, 13852.67, 13478.27, 35942.07, 36690.86, 17596.64, 18345.43, 35193.27, 28079.74, 23586.98, 23212.58, 13852.67, 31074.91, 23586.98, 34070.08];
 
