/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 24 ott 2023 at 12:48:04
 *********************************************/
n = 566;

m = 593;

g = 200;

d = [51.68455895217667, 50.94407472084736, 51.86430118276442, 53.0555721433406, 52.54766524038494, 51.252846201318846, 51.25050591798367, 52.94540955593593, 53.47130208478008, 53.039057674384686, 50.78818171574672, 50.57289141347182, 52.86802335349045, 51.623518690927796, 49.71090265449604, 53.66177960859241, 53.41333977224098, 52.66010208546882, 52.9562281723301, 52.77276134519217, 52.83844685920086, 50.07094033038757, 51.55438912208151, 50.53846997146003, 50.00905518528866, 50.71857792356446, 50.32158300290417, 50.945380748538334, 50.243385768367645, 52.08833625012448, 50.52329947952174, 52.47310016699455, 52.49402391050525, 49.907611479522586, 53.668004477194216, 51.12025119328891, 51.77839310945846, 51.49150846917948, 52.43404703447549, 52.15244698489696, 52.367832834977825, 51.29266023575597, 50.40302203579065, 51.11012174577276, 52.315661139556, 51.765490678761964, 51.87106837818902, 49.91923996533541, 52.87477653651642, 53.68070071344362, 51.21581963748151, 50.27241244443992, 50.83036618121406, 50.198171283677055, 51.707767025475334, 52.43229899980983, 53.09895954782293, 52.643935396878945, 52.90061357084233, 50.21686933568751, 50.031494081334735, 53.11680969659419, 49.76760886673326, 51.477974979199146, 52.69240940611971, 52.072365126976145, 52.845378432884715, 50.42880375928114, 51.73927375080536, 49.86640291908372, 52.19059987806024, 51.446254897924376, 52.79680886486914, 53.45994896810312, 50.816011846560606, 51.37075344328718, 51.45503112668469, 53.562508343768904, 51.640636931280675, 50.72895877759572, 51.26409805279139, 52.99969694442778, 51.53660875220855, 51.38164476466438, 53.28901336395575, 50.07688429764085, 51.621588880394434, 51.73745839910978, 52.75857313092288, 50.81981987881107, 49.77681579092607, 53.46671812343939, 52.33385861962541, 52.651019328891664, 51.08705764025452, 49.77882244530226, 52.3934029048119, 50.02120125937432, 53.41650329300011, 50.791869271252665, 49.77879237741138, 50.93415839874825, 51.817886790135894, 53.36448763246781, 50.07845243491211, 50.1203966650286, 53.51215986655935, 50.354831902363536, 52.4175645816199, 52.81741930073598, 52.5168251156822, 52.525560730685804, 51.83819364116564, 51.325762638446214, 49.895639288500924, 50.12298096056199, 51.64508167584232, 51.5216041056562, 51.77742465489047, 50.00875556796159, 50.94569020864579, 50.79465709743436, 50.65149695662226, 51.845352072231584, 52.4025768349814, 52.22385966785717, 50.74229215407253, 50.802550159242095, 53.664752363203924, 49.80173375462192, 51.44615147137675, 49.85511239013874, 53.36203924539004, 52.96581871146425, 51.3099572160422, 53.174865501963396, 51.39801635686453, 50.26821471769774, 52.633434257897655, 52.13686194109159, 52.66248942696121, 51.056253834904155, 52.85507097083114, 52.166472698907356, 51.7273190826907, 51.95108761251491, 50.408798522287, 53.497755663005165, 49.744838237427764, 53.38431464493235, 51.62538477905876, 53.63791497473767, 51.64263730563183, 53.6523375035721, 51.78365673805502, 51.43807775479881, 50.95289473410408, 50.276867715245245, 50.71831812809664, 50.11763217092923, 50.73622006668574, 49.73075429474961, 53.312299739138595, 50.61436014099486, 53.27820279735973, 52.12573992833165, 50.87906831877617, 53.22032745669075, 51.70499174128974, 52.037265514919305, 51.18246598998178, 50.43048609414789, 51.21968396080882, 52.70496157893663, 49.96990952072994, 51.72839732977343, 52.6227406774341, 52.83870266907087, 51.96955380409315, 52.06592613283561, 51.43841817615857, 50.99772263190912, 52.16622796196654, 52.324701813643976, 53.11734864535724, 50.62036648609531, 49.74448211403616, 51.553260523272144, 49.999960795237996, 51.49081115294594, 50.27330603302478, 50.659402303152696, 52.009017271566016, 52.15278257809188, 53.17966014845526, 50.24272901245896, 51.05810044383266, 50.98771722132196, 51.77903195729589, 51.63924826625252];

